Bill No.,Auto-generated link,Sponsor(s),Source,Date Received,Bill Description,Committee/Status,Priority,Fellows Approved,Leg Team Approved,Approved for Sign-on,Sent Co-sponsor req.,Date Buckslip Submitted,Notes
S6882,link,Skoufis,NYS Academy of Family Physicians,,Relates to professional obligations under the physician loan repayment program; provides an option to practice as a physician engaged in private practice in an underserved area.,,,,,,,,
S8557,link,Jackson,,,Provides for crediting of time spent as a provisional appointee for promotional examinations and eligibility for appointment from the resulting eligible lists.,,,,,,,,
S359A,link,Thomas,,,"Establishes the offenses of virtual token fraud, illegal rug pulls, private key fraud and fraudulent failure to disclose interest in virtual tokens.",,,,,,,,
S6522,link,Ashby,,,"Prohibits the acquisition of real property by foreign countries and entities of particular concern as well as citizens, companies, entities, and members of such countries and entities.",,,,,,,,
S6409,link,Liu,NYC Office of the Mayor,,"Relates to raising the tax abatement rate and extending certain deadlines for purposes of the green roof tax abatement for certain properties in a city of one million or more persons
",,,,,,,,
S7975,link,Ramos,,,"Enacts the ""New York small contractor relief act""; defines terms; authorizes a small contractor captive insurance company to purchase, and the New York state insurance fund shall be authorized and directed to provide, reinsurance and retrocession reinsurance for such captive insurance company, on either a quota share arrangement or facultative arrangement at a rate to be determined by the board of the fund; provides that a small contractor captive insurance company organized pursuant to this article shall not refuse to issue, renew or cancel a policy of any qualified small construction contractor based upon geographic location or line of business engaged in by such contractor; makes related provisions.",,,,,,,,
S7383,link,Sepulveda,,,"Requires public notice and comment for any contract for goods, services or construction to be awarded by other than competitive sealed bidding or competitive sealed bids from prequalified vendors in excess of a threshold established by the procurement policy board by rule
",,,,,,,,
S3566-B,link,Cleare,Nixon Peabody,,Relates to the conversion to condominium ownership for the preservation of expiring affordable housing in the city of New York; provides expanded homeownership opportunities from the conversion of certain residential rental buildings to condominium status by property owners that commit to preserve the inventory of expiring affordable housing in the city of New York.,,,,,,,,
S8303,link,Budget,"NY Statewide Senior Action Council, inc",,Makes appropriations for the support of government - Aid to Localities Budget,,,,,,,,
S5269,link,	PERSAUD,Email,,Authorizes expedited settlement conference processes for establishing child support orders where both parties voluntarily agree on the process.,,,,,,,,
S4750,link,THOMAS,New Yorkers for Responsible Lending,,"Relates to action arising out of consumer debt; defines consumer debt and replaces consumer credit transaction with such term
",,,,,,,,
S4774,link,SANDERS,New Yorkers for Responsible Lending,,"Limits the amount of certain credit service charges in motor vehicle retail installment contracts
",,,,,,,,
S6685,link,PARKER,New Yorkers for Responsible Lending,,"Prohibits motor vehicle insurers from discrimination on the basis of socioeconomic factors in determining algorithms used to construct actuarial tables, coverage terms, premiums and/or rates.",,,,,,,,
S553,link,THOMAS,New Yorkers for Responsible Lending,,"Requires certain disclosures by automobile insurers relating to the use of telematics systems in determining insurance rates and/or discounts.",,,,,,,,
S7129,link,"BRESLIN",New Yorkers for Responsible Lending,,"Provides for the use of telematics or usage-based insurance for private passenger or commercial automobile insurance or policies in certain circumstances.",,,,,,,,
S5213,link,THOMAS,New Yorkers for Responsible Lending,,"Relates to tax lien foreclosure; caps the interest rate charged on all taxes received after the interest free period and all delinquent taxes at 16% per year; creates a taxpayer bill of rights and requires compliance therewith by each county, city and town.",,,,,,,,
S564A,link,KAVANAGH,New Yorkers for Responsible Lending,,"Provides that any person who has been injured by reason of any violation of any such rules, regulations or policies as the superintendent may promulgate may bring an action in his or her own name; assert a counterclaim; or, if an action is commenced by the mortgagee or anyone acting on its behalf, bring a third party claim, against either the mortgagee and/or the mortgage servicer to enjoin any violations thereof; authorizes damages; makes related provisions.",,,,,,,,
S7297A,link,KAVANAGH,New Yorkers for Responsible Lending,,"Establishes the homeownership protection program; provides that the department of law shall establish the homeownership protection program to ensure the availability of free housing counseling and legal services to homeowners for the purposes of mitigating threats to homeownership; provides that the department of law shall provide grants to eligible not-for-profit housing counseling organizations and legal services organizations to provide services under the program.",,,,,,,,
 S346,link,GOUNARDES,New Yorkers for Responsible Lending,,"Directs the development of materials to be provided to new employees relating to student loan repayment information.",,,,,,,,
 S362 ,link,THOMAS,New Yorkers for Responsible Lending,,"Enacts protections for private education loan borrowers and cosigners; requires certain notifications from creditors and debt collectors; prohibits acceleration; enacts provisions for cosigner release.",,,,,,,,
S5056,link,THOMAS,New Yorkers for Responsible Lending,,"Directs the superintendent of financial services to create a private education debt registry which shall contain information and documentation relating to loans issued by creditors including interest rates and copies of the notes and instruments used by such creditors for education loans.",,,,,,,,
 S1993,link,JACKSON,,,"Relates to determinations of appropriate educational programs for certain students in a school district in a city having a population of one million or more.",,,,,,,,
S2544A,link,JACKSON,Commuity Healthcare Network,,"Modernizes the practice of podiatry specifically relating to ankle surgery.",,,,,,,,
S4428,link,FERNANDEZ,Commuity Healthcare Association of New York State ,,"Requires individuals who practice the profession of dental therapy or advanced dental therapy to be licensed and registered in the state; provides Medicaid reimbursement for dental therapy services.",,,,,,,,
S5269,link,,Email,,,,,,,,,,
S20,link,Gounardes,Email,,"Increases membership on the board of the metropolitan transportation authority, including members representative of commuters' advisory councils.",,1. High,1. Yes,1. Yes,,,,
S5632A,link,HARCKHAM,,,"Establishes certain consumer rights for the protection of consumer health, safety and/or privacy needs related to utility meters.",,1. High,1. Yes,,,,,
S4349,link,SEPULVEDA,,,"Relates to providing language access services to individuals relating to the tax abatement program for rent-controlled and rent-regulated property occupied by senior citizens or persons with disabilities.",,,,,,,,
S4621,link,SEPULVEDA,,,"Conforms the definition of an incarcerated individual with a serious mental illness to the definition of ""person with a serious mental illness"" in the mental hygiene law.",,,,,,,,
S4666,link,SEPULVEDA,,,"Prohibits children twelve years old and younger from playing tackle football.",,,,,,,,
S4737,link,SEPULVEDA,,,"Directs the state police to promulgate any necessary rules and regulations regarding the flagging for further review of bulk purchases of firearms or ammunition.",,,,,,,,
S4908,link,SEPULVEDA,,,"Ends the imposition of a sentence of life without parole and the death penalty.",,,,,,,,
S5810,link,RIVERA,NYSNA,,"Sets reimbursement rates for essential safety net hospitals at no less than regional average commercial rates for health care services provided by all hospitals in the same geographic region.",,,,,,,,
A7217,link,"Bichotte Hermelyn",,,"Relates to the general hospital indigent care pool and funding for safety net and enhanced safety net hospitals.",,,,,,,,
S2085,link,KAVANAGH,,,"Relates to the closure of hospitals; includes general hospitals, emergency or maternity departments or the surrender of an operating certificate.",,,,,,,,
S3607,link,WEBB,The society for clinical & medical hair removal inc,,"Relates to licensing laser hair removal technicians; establishes laser hair removal rules, regulations and standards.
",,,,,,,,
S04006,link,BUDGET,,,"Enacts into law major components of legislation necessary to implement the state education, labor, housing and family assistance budget for the 2023-2024 state fiscal year; relates to contracts for excellence; relates to maintenance of equity aid; provides a state subsidy for the federal community eligibility provision program; relates to the number of charters issued; relates to actual valuation; relates to average daily attendance; relates to supplemental public excess cost aid; relates to building aid for metal detectors, and safety devices for electrically operated partitions, room dividers and doors;",,,,,,,,
S4198B,link,COMRIE,The Nature of Conserancy,,"Enacts the ""New York wildlife crossing act""; directs the department of transportation and the New York state thruway authority to identify sites along all highways, thruways and parkways in the state where wildlife crossings are most needed to increase public safety and improve habitat connectivity and create a priority list of wildlife opportunity areas where federal grant monies may be available to implement the top five projects identified.",,,,,,,,
S8473,link,MARTINEZ,The Nature of Conserancy,,"Amends provisions of the Suffolk county water quality restoration act relating to the expenditure of funds for certain water projects.",,,,,,,,
S1890,link,Sanders,Email,,"Establishes the ""Syd O. Sotillo Sickle Cell Treatment Act"" which designates sickle cell centers for excellence and outpatient treatment centers.",,,,,,,,
S8184,link,MANNION,CSEA,,"Extends provisions of law relating to the care demonstration program from March 31, 2024 until March 31, 2026.
",,,,,,,,
S8183,link,MANNION,CSEA,,"Extends for two years the requirement for OPWDD to give a 90-day notice to the Senate, Assembly, and labor organizations of any closures or transfer of a state operated individualized residential alternative.",,,,,,,,
S4580A,link,COMRIE,DC 37 AFSCME,,"Enacts the ""New York city teleworking expansion act""; provides that each agency shall establish a policy and program to allow employees to perform all or a portion of their duties through teleworking to the maximum extent possible without diminished employee performance; defines the term ""telework"" to mean to perform normal and regular work functions on a workday that ordinarily would be performed at the agency's principal location at a different location, thereby eliminating or substantially reducing the physical commute to and from such agency's principal location.
",,,,,,,,
S20,link,GOUNARDES,PAC,,"Increases membership on the board of the metropolitan transportation authority, including members representative of commuters' advisory councils.
",,,,,,,,
S2960,link,Kavanaugh,LiveOnNY,,"Provides for annual adjustment of the maximum income threshold for eligibility for the senior citizen rent increase exemption (SCRIE), disability rent increase exemption (DRIE), senior citizen homeowners' exemption (SCHE), and disabled homeowners' exemption (DHE) by any increase in the consumer price index (CPI).",,,,,,,,
S569,link,Kavanaugh,LiveOnNY,,Relates to establishing a maximum rent of one-third of household income for the senior citizens rent increase exemption and disability rent increase exemption.,,,,,,,,
S7742,link,SEPULVEDA,,,"Requires banks to report to the superintendent annually on the amount of revenue earned from overdraft fees; prohibits banks from imposing overdraft fees during a ten day grace period; regulates the imposition of overdraft and NSF fees.",,,,,,,,
S8211,link,SEPULVEDA,,,"Prohibits food products containing brominated vegetable oil, potassium bromate, propylparaben, red dye 3, and titanium dioxide; provides for a private right of action for violations.",,,,,,,,
S8355,link,SEPULVEDA,,,"Makes technical changes relating to the rescindment of certificates of authority clarifying that a failure to file a report or return relates only to the person's obligation to pay taxes.",,,,,,,,
S8463,link,SEPULVEDA,,,"Provides that a retailer licensed by the office of cannabis management shall be permitted to sell any and all forms of cannabinoid hemp.",,,,,,,,
S8520,link,SEPULVEDA,,,"Increases the handling fee paid to dealers or operators of a redemption center for the redemption of empty beverage containers.",,,,,,,,
S7992 ,link,MANNION,,,"Establishes a quality incentive program for managed care providers that is distributed based on managed care providers' performance in meeting quality objectives.",,,,,,,,
S321 ,link,SALAZAR,,,"Authorizes certain persons confined in institutions operated by the department of corrections and community supervision to apply for a sentence reduction.",,,,,,,,
S8506,link,HARCKHAM,PROTECT THE ADIRONDACKS,,"Expands requirements for individual sewage disposal system disclosures to include home sellers; increases penalties for violations.",,,,,,,,
S1974,link,RAMOS,NYS AFL-CIO,,"Relates to contracted network pharmacy use.",,,,,,,,
S1305,link,,,,"Provides an owner or lessee access to adjoining property to make improvements or repairs for certain circumstances.",,,,,,,,
S8388A,link,Harckham,,,Protects the health insurance benefits of retirees of public employers and contributions of retirees of public employers,,,,,,,,
S0020,link,Gournadas,,,"Increases membership on the board of the metropolitan transportation authority, including members representative of commuters' advisory councils.",,1. High,1. Yes,1. Yes,,,,
S4740A,link,SKOUFIS,,,"Adds to the crime of public lewdness the electronic transmission of an image depicting exposed private or intimate parts without the consent of the recipient.",,,,,,,,
S3372,link,SKOUFIS,,,"Ensures proper administration and enforcement of the uniform fire prevention and building code and the state energy conservation construction code; provides additional definitions; provides remedies for violations of the code; makes conforming technical changes.",,,,,,,,
S2314,link,SKOUFIS,,,"Permits the compounding, dispensing and sale of pharmaceuticals to veterinarians.",,,,,,,,
S5876,link,SKOUFIS,,,"Authorizes the beneficiaries of a member of the state and local employees' retirement system who dies after filing a retirement application to choose pension benefits rather than a death benefit.",,,,,,,,
S6785A,link,SKOUFIS,,,"Simplifies the state's alcohol laws in accordance with recommendations made by the Commission to Study Reform of the Alcoholic Beverage Control Law.",,,,,,,,
S5294,link,Fernandez,,,"Requires that all holders of a professional certificate in the classroom teaching service, holders of a level III teaching assistant certificate and holders of a professional certificate in the educational leadership service receive a minimum of three hours of training in mental health per year.",,,,,,,,
S3179,link,Hoylman-Sigal,,,Provides for absence from school for the mental or behavioral health of the minor.,,,,,,,,
S1537,link,Hoylman-Sigal,,,"Enacts the student suicide prevention act; requires the governing board or body of every local educational agency serving students in grades seven to twelve, to adopt policies, procedures and guidelines on student suicide prevention, intervention and postvention for students in such grades.",,,,,,,,
S6839,link,Parker,,,"Enacts the ""paid sick leave act""; requires all employers to provide paid sick leave to employees.",,,,,,,,
S6804A,link,MHANYS (Mental Health Association in New York State),,,"Establishes a rebuttable presumption of a hate crime when certain crimes are committed on, in or upon a house of worship.",,,,,,,,
S8146,link,Brouk,,,"Provides mental telehealth services to children, adolescents, and young adults.",,,,,,,,
S3426,link,Myrie,,,Relates to granting certain individuals youthful offender status; adds a new category of individuals eligible for young adult offender status; provides for process and sentencing requirements related to such statuses.,,,,,,,,
S1099A,link,Bailey,Right2RemainSilent,,Amends procedures required for the custodial interrogation of children to provide additional protections and for taking juveniles and sixteen and seventeen year olds into custody.,,,1. Yes,,,,,
S356,link,Jackson,,,Provides for the employment of mental health professionals by school districts.,,,,,,,,
S902,link,Brisport,,,Requires a caller making a report of suspected child abuse or maltreatment to the central registry to leave their name and contact information; prohibits the office of children and family services from releasing information identifying a person who made such a report.,,,,,,,,
S277B,link,Gounardes,,,Provides for a working families tax credit; directs quarterly prepayment of the credit; provides for a sliding reduction in the credit for incomes which exceed a certain threshold.,,,,,,,,
S6781,link,Parker,,,Allows commuter vans to accept hails from prospective passengers in the street.,,,,,,,,
S8432,link,Comrie,,,"Establishes a captive insurance program for commuter vans, black cars, ambulettes and paratransit vehicles, small school buses, and charter buses that are engaged in the business of carrying or transporting eight to twenty-four passengers for hire; pre-arranged for-hire vehicles and accessible vehicles; defines terms.",,,,,,,,
S4862,link,Comrie,,,Establishes a captive insurance program for commuter vans that are engaged in the business of carrying or transporting eight to twenty-four passengers for hire; establishes the commuter van trust fund.,,,,,,,,
S6055A,link,Kavanagh,,,"Prohibits certain food additives and food color additives; provides that in an action to enforce compliance, the recognition by the federal food and drug administration of any of these substances as safe may not be alleged as a defense.",,,,,,,,
S8615,link,Kavanagh,,,Establishes requirements for the reporting of GRAS (generally recognized as safe) substances.,,,,,,,,
S1267,link,Breslin,NYS Bleeding Disorders Coalition,,Requires a utilization review agent to follow certain rules when establishing a step therapy protocol; requires that the protocol accepts any attestation submitted by the insured's health care professional stating that a required drug has failed as prima facie evidence that the required drug has failed.,,,,,,,,
S3400,link,Breslin,NYS Bleeding Disorders Coalition,,Relates to utilization review program standards; requires use of evidence-based and peer reviewed clinical review criteria; relates to prescription drug formulary changes and pre-authorization for certain health care services.,,,,,,,,
S2821B,link,Ramos,NYS Bleeding Disorders Coalition,,Expands eligibility for temporary disability insurance and paid family leave benefits; makes conforming technical changes.,,,,,,,,
S4578A,link,Ramos,NYS Bleeding Disorders Coalition,,"Establishes the mothers and infants lasting change (""MILC"") allowance to provide income to eligible participants for the last three months of pregnancy and the first 18 months of the child's life; excludes income received from the MILC allowance for purposes of supplemental nutrition assistance program eligibility.",,,,,,,,
S6981B,link,Mannion,Care For the Homeless,,Establishes special permits to practice as a clinical laboratory practitioner which are valid for not more than 180 days or until the time an appropriate exam is taken.,,,,,,,,
S3170A,link,Skoufis,Kyras Champions,,"Requires the court to consider a child's health and safety when making a decision regarding child custody and visitation; directs the court to review certain information as it relates to allegations of child abuse, domestic violence and child safety; requires the court to appoint an attorney to represent the child when credible allegations of serious risk to the child's safety have been made.",,,,,,,,
S4434,link,Fernandez,Kyras Champions,,Relates to court ordered forensic evaluations and reports in child custody and visitation proceedings.,,,,,,,,
S4149,link,Palumbo,Kyras Champions,,Prohibits courts from ordering an evaluation of a party or child or allowing into evidence a forensic report created by a forensic evaluator on a party or child to assist such court in a child custody or visitation determination.,,,,,,,,
S1584,link,Ortt ,Kyras Champions,,"Prohibits certain student organizations which participate in discrimination or intolerance from receiving funding from SUNY, CUNY or community colleges.",,,,,,,,
S6385B,link,Parker,Kyras Champions,,Requires information made public by the state board of professional medical conduct and health information required to be made public by the department of health to be disseminated in both written and electronic form in the 8 languages that are most spoken in the state.,,,,,,,,
S2084,link,Harckham,Kyras Champions,,Prohibits forensic child custody evaluators who have been terminated for cause from appearing as an expert witness in family court custody and visitation proceedings.,,,,,,,,
S3435,link,Skoufis,Kyras Champions,,"Eliminates judicial immunity or quasi-judicial immunity for certain third parties, such as special masters, minor's counsel, investigators, therapists, evaluators, receivers, bankruptcy trustees, experts, and factfinders, who provide a report or finding to the family court.",,,,,,,,
S5385,link,Harckham,Kyras Champions,,Establishes a moratorium on the use of forensic child custody evaluators in family court proceedings by the office of court administration.,,,,,,,,
S8301,link,,"Health Home (iHealth,etc)",,,,,,,,,,
S8302,link,,"Health Home (iHealth,etc)",,,,,,,,,,
S8303A,link,,"Health Home (iHealth,etc)",,,,,,,,,,
S8304A,link,,"Health Home (iHealth,etc)",,,,,,,,,,
S8305A,link,,"Health Home (iHealth,etc)",,,,,,,,,,
S8306A,link,,"Health Home (iHealth,etc)",,,,,,,,,,
S8307A,link,,"Health Home (iHealth,etc)",,,,,,,,,,
S8308A,link,,"Health Home (iHealth,etc)",,,,,,,,,,
S8309,link,,"Health Home (iHealth,etc)",,,,,,,,,,
S7694,link,Gounardes,Keep kids Safe NY,,Establishes the Stop Addictive Feeds Exploitation (SAFE) For Kids Act prohibiting the provision of addictive feeds to minors by addictive social media platforms; establishes remedies and penalties.,,,,,,,,
S2132,link,Liu,,,Prohibits the use of gas-powered leaf and lawn blowers between May 1st and September 30th.,,,,,,,,
S3000,link,Gounardes,"The New York State Soceity of Anesthesiologists, inc",,"Relates to the certification of registered nurse anesthetists; provides that for such certification an applicant shall file an application, be licensed as a registered professional nurse, have satisfactorily completed educational preparation for the administration of anesthesia by an accredited entity and pay a fee.",,,1. Yes,,,,,
S3158,link,Hoylman-Sigal,CFC Too,,Enacts the child abuse reporting expansion act; relates to making clergy members required reporters of child abuse or mistreatment.,,,1. Yes,,,,,
S451,link,GIANARIS,,,"Suspends the registration of a vehicle which has been documented five times within a twelve month period by a photo violation monitoring device for failure of an operator thereof to comply with traffic-control indications for a period of six months.",,,,,,,,
A7621,link,Magnarelli,,,"Suspends the registration of a vehicle which has been documented five times within a twelve month period by a photo violation monitoring device for failure of an operator thereof to comply with traffic-control indications for a period of six months.
",,,,,,,,
A5259,link,Dinowitz,,,"Increases the number of traffic-control signal photo violation-monitoring devices that may be installed in New York city to one thousand three hundred twenty-five intersections; extends certain provisions authorizing photo-monitoring devices until December 1, 2030.
",,,,,,,,
S8531,link,Hoylman-Sigal,,,"Prohibits the keeping of inventory, storage, warehouse, processing, packaging, shipping or distributing of flavored vapor products near where vapor or tobacco products are sold at retail or wholesale.",,,,,,,,
S3158,link,Hoylman-Sigal,CFC Too,,Enacts the child abuse reporting expansion act; relates to making clergy members required reporters of child abuse or mistreatment.,,,1. Yes,,,,,
S1292,link,Parker,"Empire State Council of Agricultural Organizations, inc",,"Establishes the clean fuel standard of 2023; provides such standard is intended to reduce carbon intensity from the on-road transportation sector by 20% by 2031, with further reductions to be implemented based upon advances in technology.",,,,,,,,
S3599A,link,Stavisky,ETE,,"Relates to creating an affirmative defense in certain cases involving sexting by persons under the age of 18.",,,,,,,,
S7809,link,Hoylman-Sigal,ETE,,"Relates to notice of certain medical options and to communication with the person being tested prior to HIV related testing.",,,,,,,,
S5824,link,Cleare,Policy Inc.,,"Provides that in order to present the claim for unjust conviction and imprisonment, claimant must establish by documentary evidence that: he or she has been convicted of one or more felonies or misdemeanors against the state and subsequently sentenced to a term of imprisonment, and has served all or any part of the sentence; and he or she has had the one or more felonies and misdemeanors dismissed with prejudice following serving all or part of the sentence; and his or her claim is not time-barred.
",,,,,,,,
S4855,link,Cleare,Policy Inc.,,"Retroactively adjusts the compensation of formerly incarcerated individuals who were unjustly convicted; exempts such adjusted income from state income taxes.",,,,,,,,
S4812,link,Cleare,Policy Inc.,,"Provides for the return of fines, restitution and reparation payments and any interest thereon where a defendant is subsequently pardoned upon the ground of innocence or the conviction is reversed or vacated.",,,,,,,,
S4795,link,Cleare,Policy Inc.,,"Relates to requiring at least one member of the state board of parole be a formerly incarcerated person.
",,,,,,,,
S1292,link,Parker,,,"Establishes the clean fuel standard of 2023; provides such standard is intended to reduce carbon intensity from the on-road transportation sector by 20% by 2031, with further reductions to be implemented based upon advances in technology.",,1. High,,,,,,
S5632A,link,Harckham,,,"Establishes certain consumer rights for the protection of consumer health, safety and/or privacy needs related to utility meters.",,,,,,,,
S4511C,link,Ramos,,,"Expands the eligibility period for indigent legal service attorneys to receive certain loan forgiveness; increases loan reimbursement for certain attorneys who work in legal services with indigent clients.
",,,,,,,,
S6050,link,Mayer,Mason Tenders' District Council of Greater NY and Long Island,,"Relates to requiring the use of project labor agreements for large scale construction projects under the state university construction fund; provides an exception to such requirement may be granted; provides that the fund may require every contractor become party to a project labor agreement.",,,,,,,,
S1398,link,Liu,,,"Requires public utility companies to repair or replace all damaged residential lateral sewer and water pipes where such damage was caused by such public utility company.",,,,,,,,
S6657A,link,Gounardes,,,"Increases fees for the registration of larger, heavier motor vehicles; provides a waiver for a portion of weight added by batteries in electric vehicles.",,1. High,,,,,,
S328,link,Rivera,Medicaid Matters NY,,"Removes certain restrictions on eligibility for personal and home care services under medicaid.",,,,,,,,
S6414,link,Skoufis,Western Queens,,"Eliminates the ""look-back period"" for home care for non-institutionalized Medicaid applicants; repeals a certain provision of law relating thereto.",,,,,,,,
S4881A,link,Cleare,Western Queens,,"Increases the amount of the savings exemption for eligibility for Medicaid; eliminates the asset test for certain individuals.",,,,,,,,
S7442,link,Parker,,,"Enacts the ""omnibus renewable energy progress act""",,,,,,,,
S373,link,Parker,,,"Ensures the safe and efficient delivery of materials for the timely construction of major renewable energy facilities in furtherance of the goals mandated by the New York state climate leadership and community protection act; provides that vehicles carrying materials intended for the construction of any major renewable energy facility, including oversize and superload transport vehicles, shall be permitted to travel on the thruway and state highways, on any day of the week, including Saturday and Sunday.",,,,,,,,
S4547,link,Parker,,,Establishes sales tax exemptions for residential and commercial energy storage systems equipment.,,,,,,,,
S1058,link,Hinchey,,,"Establishes the agrivoltaics viability pilot program within the farmland viability program to provide grants to identify the best practices and strategies for dual-use solar energy projects that protect soil health during construction and decommissioning of solar arrays, utilize sustainable agricultural production practices, monitor any benefits solar energy may have on farms and to the state, track economic viability, study the commercialization of dual-use solar energy projects, and encourage equitable engagement of stakeholders.",,,,,,,,
S737,link,Parker,,,Relates to providing net revenues from utility-owned large-scale renewable generation projects to low-income customers; authorizes utility companies to own such projects; provides that the commission shall require labor agreements and labor peace agreements.,,,,,,,,
S1793C,link,Hinchey,,,Relates to the design of uniform standards and conditions relating to the construction and operation of major renewable energy facilities and the review of applications for permits to develop such facilities.,,,,,,,,
S7767A,link,Harckham,,,Provides for the issuance of certificates of registration for entities that manufacture or assemble zero-emissions vehicles and have no franchised motor vehicle dealers in New York if the sale of zero-emission vehicles in the state fail to meet certain targets.,,,,,,,,
S1292,link,Parker,,,"Establishes the clean fuel standard of 2023; provides such standard is intended to reduce carbon intensity from the on-road transportation sector by 20% by 2031, with further reductions to be implemented based upon advances in technology.",,,,,,,,
S5455,link,Jackson,,,"Provides an exemption for the sale of the first $35,000 for a battery, electric, or plug-in hybrid electric vehicle from state sales and compensating use taxes; authorizes local governments to elect such incentives; repeals the hybrid exemption after ten years.",,,,,,,,
S2276,link,Kavanagh,,,Establishes a program to address the legalization of specified basements and cellars and the conversion of other specified basements and cellars in a city with a population of one million or more.,,,,,,,,"""This legislation would enable NYC to create a program to safely legalize inhabited basement and cellar apartments in 1-3 family homes. Specifically, it will ensure that existing small homes deemed eligible for the program remain under local regulation and will not be newly subject to the state's Multiple Dwelling law"""
S4877,link,Mayer,EMPIRE Justice Center,,Reduces the number of days for a state agency to register contracts with not-for-profit organizations to thirty; defines registered contract.,,,,,,,,
S4812,link,Cleare,,,"Provides for the return of fines, restitution and reparation payments and any interest thereon where a defendant is subsequently pardoned upon the ground of innocence or the conviction is reversed or vacated.",,,,,,,,
S2869C,link,Comrie,Environmental Advocates NY,,"Requires financial reports for real property acquired by the state, including any agencies and authorities, through eminent domain.",,,,,,,,
S8657,link,Stavisky,FASNY(FIREFIGHTERS ASSOCIATION OF THE STATE OF NY),,Requires ice skating rinks maintain a certain indoor air quality and maintain a certificate of acceptable air quality where a resurfacing machine is used.,,,,,,,,
S6078A,link,Comrie,"Transport Workers Union of America, AFL-CIO",,Relates to attendance policies for employees of the metropolitan transportation authority or contractors of Nassau and Suffolk counties providing public transportation regarding time off for medical services and court appearances.,,,,,,,,Creating an heirs tax
S2966,link,Kavanagh,Sierra Club Atlantic Chapter,,"Requires certain watercraft, aircrafts, and trains to use clean energy, including ensuring such vehicles are zero-emissions; requires NYSERDA to study zero-emission commercial vehicles, the use of renewable energy in publicly funded airports, and the use of sustainable aviation fuel; requires NYSERDA to administer a grant program to flying schools and clubs that install charging infrastructure; provides for a rebate for zero emission boats.",,,,,,,,
S6955,link,Hinchey,,,"Provides that certain purchase contracts to purchase food can be awarded to a qualified bidder who fulfills certain values based procurement standards when such bid is not more than 10% higher than the lowest responsible bidder and when the bidder makes publicly available data on where such bidder sources their food items; sets forth the criteria for values based procurement standards to include local economies, environmental sustainability, racial equity, valued workforce, animal welfare, and nutrition.",,,,,,,,
S7706,link,Martinez,,,Deems home instruction which is compliant with the provisions of article 65 of the education law and the home instruction requirements prescribed in the commissioner of education's regulations to be substantially equivalent in amount and quality to the instruction given to students of like age and attainments at the public schools of the city or district where the student resides.,,,,,,,,
S2982,link,Kavanagh,,,Requires shelter allowances be set at up to one hundred percent of the fair market rent for the local social services district.,,,,,,,,
S2514,link,Ramos,,,Directs the office of temporary and disability assistance to promulgate rules and regulations requiring quarterly inspections of homeless shelters.,,,,,,,,
S1772A,link,Parker,,,"Enacts the ""New York accountability in reporting act""; establishes the crimes of offering a false report for filing in the second degree and offering a false report for filing in the first degree; includes falsely reporting an incident as a specified offense for the purposes of hate crimes; requires the creation of public databases for false reporting; provides for a civil remedy for convictions of such crimes.",,,,,,,,
S4880,link,Fernandez,,,"Establishes through the department of health, in conjunction with the office of addiction services and supports, a drug checking services program to allow individuals to bring drugs or controlled substances and have them tested for contaminants, toxic substances, or hazardous compounds.",,,,,,,,
S8106,link,Kennedy,,,Increases the amount of geothermal energy systems tax credits.,,,,,,,,
S4786,link,Rivera,,,"Enacts the ""New York affordable drug manufacturing act"" to direct the commissioner of health to enter into partnerships to increase competition, lower prices, and address shortages in the market for generic prescription drugs, to reduce the cost of prescription drugs for public and private purchasers, taxpayers, and consumers, and to increase patient access to affordable drugs.",,,,,,,,
S604,link,Skoufis,,,Creates a wholesale prescription drug importation program which complies with federal standards and regulations for the purpose of generating substantial savings for consumers.,,,,,,,,
S966,link,Rivera,,,Relates to program eligibility for plans comparable to Medicare part D.,,,,,,,,
S3518,link,Fernandez,,,Enacts the manufacturer disclosure and transparency act requiring prescription drug manufacturers to notify the attorney general of arrangements between pharmaceutical manufacturers resulting in the delay of the introduction of generic medications.,,,,,,,,
S7702,link,Webb,,,"Requires the department of health to convene a maternal health care and birthing standards workgroup to study, evaluate and make recommendations related to the development of maternal health care and birthing standards to ensure that patients receive the highest quality of care.",,,,,,,,
S1089,link,Comrie,Farm Bureau NY,,Allows the New York state thruway authority to provide a discounted toll rate to farmers transporting agricultural products.,,,,,,,,
S1292,link,Parker,Farm Bureau NY,,"Establishes the clean fuel standard of 2023; provides such standard is intended to reduce carbon intensity from the on-road transportation sector by 20% by 2031, with further reductions to be implemented based upon advances in technology.",,,,,,,,
S1414,link,Hinchey,Farm Bureau NY,,Exempts services provided to board an animal when rendered by a veterinarian licensed and registered as required by the education law or by a commercial horse boarding operation from sales and use taxes.,,,,,,,,
S517,link,Hinchey,Farm Bureau NY,,Allows semitrailers to register as an agriculture trailer.,,,,,,,,
S1218,link,Comrie,Farm Bureau NY,,Relates to the appointment for agricultural representation on the state fire prevention and building code council.,,,,,,,,
S1279,link,Bailey,Farm Bureau NY,,Relates to conducting a study on various approaches to increasing broadband access within this state.,,,,,,,,
S1752,link,Hinchey,Farm Bureau NY,,"Expands the definition of crops, livestock and livestock products to include cannabis.",,,,,,,,
S2852A,link,Skoufis,Farm Bureau NY,,"Authorizes the direct intrastate and interstate shipment of liquor, cider, mead, and braggot; relates to direct shipments of wine.",,,,,,,,
